Season,Year ending,Nov.,Dec.,Jan.,Feb.,Mar.,Apr.,
1944-45,1945,---,57,19.5,67,---,57,
1945-46,1946,109,83,84.5,50,69,55.5,
1946-47,1947,69,63,61,53,68,60,
1947-48,1948,118,80,46,66,165,74,
1948-49,1949,71,160,132,58,97,5,
1949-50,1950,39,137,133,34,109,25,
1950-51,1951,60,66,112,58,53,0,
1951-52,1952,67,156,115,105,163,35,
1952-53,1953,44,65,112,40,93,57,
1953-54,1954,50,107,54,57,101,14,
1954-55,1955,37,53,134,129,60,59,
1955-56,1956,86,112,103,72,33,54,
1956-57,1957,36,50,86,41,97,76,
1957-58,1958,74,79.5,83.5,131.5,80,111,
1958-59,1959,38,47.5,81,107,84.5,28,
1959-60,1960,22,39.5,59,155,92,28,
1960-61,1961,75,40,1,62,113,35,
1961-62,1962,46,82.5,86,110,35,42,
1962-63,1963,31,17,85,39,93,136,
1963-64,1964,55,53,108,68,183,99,
1964-65,1965,95,141,150,66,44,77,
1965-66,1966,69,69,73,103,70,49,
1966-67,1967,53,84,168,72,61,106,
1967-68,1968,22,131,39,84,70,133.5,
1968-69,1969,87.5,132.6,113,148,35,50,
1969-70,1970,56,70,103.5,60.5,79,90,
1970-71,1971,79,142,58,73.5,87,42,
1971-72,1972,64.5,159,94.5,45,47,56.6,
1972-73,1973,----,122,64.5,77,124,109,
1973-74,1974,90.9,128.2,104.5,91,45,136,
1974-75,1975,25.5,146.5,104,88,151,90,
1975-76,1976,94,67,74.5,69,93,42,
1976-77,1977,13.5,17,50.5,73.5,129,31,
1977-78,1978,53,106.5,99.5,92.5,85,88,
1978-79,1979,62.5,96,78.5,86,71,94,
1979-80,1980,79.5,27,143,112.5,123,29,
1980-81,1981,40,34,73,82,110,52,
1981-82,1982,47,184,143,85,164,73,
1982-83,1983,66,165,75.5,68,150,112.5,
1983-84,1984,143.5,244.5,42,104,85,124.5,
1984-85,1985,112.5,105,44,61.5,99.5,34.5,
1985-86,1986,132,62,56,112.7,100,135.7,
1986-87,1987,73,12.3,96,73,104,23.5,
1987-88,1988,30,91,105.1,39.75,115.5,29,
1988-89,1989,172.5,124.5,70.75,97.5,64.75,52,
1989-90,1990,76,49,107.5,100.5,84,31,
1990-91,1991,109.5,91,82.8,49.7,110.9,136.3,
1991-92,1992,133.4,57.2,41.8,85,50.1,27.5,
1992-93,1993,118.8,119.2,165.3,102.9,63,81.2,
1993-94,1994,40.7,64.85,122.7,134.05,47.2,80.8,
1994-95,1995,205.9,73.8,199.7,56.3,128.9,80.7,
1995-96,1996,57,53,187,104,82,79,
1996-97,1997,78.3,164.8,141.5,91,53.8,69.7,
1997-98,1998,46.3,81.8,128.9,156.6,92.3,69,
1998-99,1999,76.5,43.1,105.3,98,46.5,89,
1999-00,2000,30,97,100,119.5,84,15.5,
2000-01,2001,88,71,66.2,79.5,53,112,
2001-02,2002,137,86.1,100.9,53.4,142.2,48.1,
2002-03,2003,42,78.7,26,84.1,93.8,74.8,
2003-04,2004,110,151,74.3,130,62,43.5,
2004-05,2005,62.7,86.4,113.5,77.9,153.6,59.5,
2005-06,2006,81,132,148,61.5,135,76,
2006-07,2007,63,51.5,38.5,107,63.5,32.5,
2007-08,2008,18,161,186,132,85,72,
2008-09,2009,56,107,113,75,114,113,
2009-10,2010,22,71.5,88.5,61,60,127,
2010-11,2011,82.5,114,42,97.5,100,117,
2011-12,2012,52,20,64.5,63,82,48,
2012-13,2013,61,101,57,56,45,62.5,
2013-14,2014,31.5,55,64,85.5,70,51.5,
2014-15,2015,59.5,73.5,28.5,35,24,47,
2015-16,2016,46,,97,,,,